morph,length,abdomen,thorax,s4,wing
Androchrome,32.36,26.09,2.5,0.88,20.34
Androchrome,34.97,27.72,2.57,0.91,20.15
Androchrome,36.88,29.39,2.37,0.75,21.41
Androchrome,34.91,27.79,2.49,0.97,21.41
Androchrome,33.95,26.78,2.59,1.04,21.26
Androchrome,36.91,24.41,2.41,0.84,19.76
Androchrome,35.76,27.72,2.71,0.91,20.93
Androchrome,33.17,26.51,2.27,0.57,20.36
Androchrome,35.26,28.19,2.41,0.74,19.35
Androchrome,32.35,26.27,2.35,0.74,18.94
Androchrome,34.51,27.74,2.4,0.8,20.84
Androchrome,35.23,27.21,2.7,0.88,22.37
Androchrome,32.25,25.58,2.39,0.88,19.93
Androchrome,34.13,26.52,2.34,0.84,19.41
Androchrome,35.22,27.58,2.43,0.93,21.03
Androchrome,33.7,27.04,2.5,0.98,20.07
Androchrome,31.82,24.44,2.46,0.95,19.68
Androchrome,34.02,26.88,2.33,0.91,20.96
Androchrome,32.88,25.54,2.27,0.91,19.32
Androchrome,34.36,26.71,2.04,0.91,21
Infuscans,30.37,23.82,2.07,0.75,19.08
Infuscans,34.8,27.78,2.57,1.01,21.96
Infuscans,31.78,24.93,2.45,0.94,19.63
Infuscans,33.56,26.29,2.44,0.79,20.58
Infuscans,35.16,27.42,2.62,0.96,20.52
Infuscans,33.55,26.68,2.33,0.83,20.75
Infuscans,34.42,26.94,2.66,0.96,21.52
Infuscans,32.94,26.31,2.39,0.92,19.97
Infuscans,33.12,25.94,2.46,0.96,20.33
Infuscans,32.85,25.2,2.52,0.9,21.58
Infuscans,33.09,26.2,2.26,0.89,20.48
Infuscans,32.47,25.28,2.44,1.03,19.74
Infuscans,34.36,27.48,2.56,0.94,21.14
Infuscans,35.05,27.42,2.54,0.96,21.56
Infuscans,36.23,28.69,2.48,0.89,21.67
Infuscans,33.08,26.13,2.43,0.77,20.33
Infuscans,33.76,26.73,2.56,1.07,20.56
Infuscans,34.63,27.12,2.66,1.04,20.66
Infuscans,32.66,26.03,2.36,0.83,20.53
Infuscans,34.56,27.08,2.48,0.87,21.13
Infuscans,35.05,27.68,2.5,0.96,21.29
Infuscans,33.87,26.69,2.51,0.82,19.71
Obsoleta,32.19,25.11,2.28,0.94,20.16
Obsoleta,33,26,2.36,0.84,18.59
Obsoleta,33.53,26.63,2.56,1.04,20.71
Obsoleta,33.9,27.07,2.66,1.03,21.38
Obsoleta,34.39,27.36,2.67,1.06,21.56
Obsoleta,34.51,27.37,2.5,0.87,21.27
Obsoleta,34.98,27.97,2.35,0.9,21.13
Obsoleta,32.18,25.95,2.27,0.8,19.07
Obsoleta,33.28,26.36,2.47,0.89,20.47
Obsoleta,32.9,26.62,2.3,0.88,20.37
Obsoleta,33.48,26.44,2.52,0.86,20.67
Obsoleta,32.83,25.65,2.47,0.75,19.5
Obsoleta,33.9,26.5,2.4,0.9,19.52
Obsoleta,34.25,27.11,2.05,0.73,19.92
Obsoleta,31.29,24.63,1.69,0.8,19.18
Obsoleta,31.34,24.62,2.18,0.72,19.86
Obsoleta,31.5,24.93,2.32,0.82,18.22
Obsoleta,32.17,25.56,2.27,0.78,19
Obsoleta,32.47,25.15,1.58,0.73,19.18
Obsoleta,32.68,25.79,1.96,0.66,19.89
Obsoleta,33.77,26.8,2.15,0.78,19.91
Obsoleta,34.32,26.92,2.51,0.82,20.4
Obsoleta,34.5,27.5,2.35,0.84,20.63
Obsoleta,33.78,26.62,2.46,0.97,20.35
Obsoleta,34.24,26.91,2.58,1.03,20.2
Obsoleta,34.89,27.66,2.51,1.04,21.46
